Design_id|Locarno_class
619519|08-07
619520|08-07
619521|08-07
619522|08-07
619576|14-02
619577|14-02
619578|14-03
619579|14-03
619680|14-03
619700|14-02
619701|14-02
619702|14-02
619705|13-02
619706|24-01
619725|08-07
619726|08-07
619727|08-07
619740|15-03
619752|08-03
619760|15-03
619764|14-01
619765|14-01
619766|14-01
619767|14-01
619779|09-03
619780|09-03
619781|09-03
619782|09-03
619793|07-02
619867|12-08
619869|28-03
619870|28-03
619876|13-02
619877|13-02
619878|13-02
619879|13-02
619880|13-02
619881|13-02
619885|04-02
619885|28-03
619886|04-02
619886|28-03
619887|04-02
619887|28-03
619888|04-02
619889|04-02
619890|04-02
619891|04-02
619953|03-01
619954|03-01
619955|03-01
619956|03-01
619957|31-00
619987|07-05
619988|07-05
619989|04-02
620011|09-03
620012|14-03
620013|14-03
620014|24-02
620091|15-05
620092|15-05
620094|15-99
620095|15-99
620118|09-01
620126|24-02
620129|09-03
620130|09-03
620131|09-03
620132|09-03
620133|09-99
620140|15-05
620141|15-05
620142|15-05
620187|08-06
620201|19-02
620202|19-02
620203|19-02
620204|23-01
620204|23-02
620205|23-01
620205|23-02
620206|23-01
620206|23-02
620207|23-01
620207|23-02
620208|23-01
620208|23-02
620209|23-01
620209|23-02
620210|23-01
620210|23-02
620211|23-01
620211|23-02
620229|08-05
620229|08-06
620230|08-03
620231|08-03
620235|08-06
620236|09-03
620237|32-00
620239|14-99
620244|26-05
620245|26-05
620254|28-03
620255|28-03
620269|14-02
620270|14-02
620271|14-02
620272|14-02
620273|14-04
620274|14-04
620275|14-02
620276|15-09
620277|09-03
620278|09-03
620279|09-03
620280|14-03
620287|13-02
620288|13-02
620318|14-03
620319|14-02
620330|32-00
620331|32-00
620332|32-00
620333|32-00
620334|32-00
620335|32-00
620336|32-00
620337|32-00
620338|32-00
620339|32-00
620340|32-00
620341|32-00
620342|32-00
620343|32-00
620344|32-00
620345|32-00
620346|32-00
620347|32-00
620348|32-00
620349|32-00
620350|32-00
620351|32-00
620352|32-00
620353|32-00
620354|32-00
620355|32-00
620356|32-00
620357|32-00
620358|32-00
620359|32-00
620360|32-00
620361|32-00
620362|32-00
620363|32-00
620364|32-00
620365|32-00
620366|32-00
620367|32-00
620368|32-00
620369|32-00
620370|32-00
620371|32-00
620372|32-00
620373|32-00
620374|32-00
620375|32-00
620376|32-00
620377|32-00
620378|32-00
620379|32-00
620380|32-00
620381|32-00
620382|32-00
620383|32-00
620384|32-00
620385|32-00
620386|32-00
620387|32-00
620388|32-00
620389|32-00
620390|32-00
620391|32-00
620392|32-00
620393|32-00
620394|32-00
620395|32-00
620396|32-00
620398|07-02
620399|07-02
620400|13-02
620403|26-05
620404|26-05
620405|26-05
620406|26-05
620414|14-02
620417|15-99
620418|15-99
620442|23-02
620462|16-01
620463|16-01
620464|24-01
620468|24-01
620469|12-08
620470|12-08
620471|12-08
620472|12-08
620473|12-08
620474|12-08
620475|07-02
620476|07-02
620477|07-02
620478|10-07
620479|10-07
620482|14-03
620483|13-02
620484|14-02
620485|13-03
620489|09-03
620490|09-03
620491|09-03
620492|32-00
620493|32-00
620494|32-00
620495|32-00
620496|13-03
620497|14-04
620498|14-04
620499|14-04
620500|14-04
620501|14-04
620502|14-04
620503|14-04
620504|14-04
620505|14-04
620506|14-04
620507|14-04
620508|14-04
620509|14-04
620510|14-04
620511|14-04
620512|14-04
620513|14-04
620514|14-04
620515|14-04
620589|26-04
620590|26-04
620591|26-04
620592|26-04
620593|28-03
620594|24-02
620595|24-02
620596|24-02
620598|15-05
620599|15-05
620600|15-05
620601|15-05
620651|12-08
620652|12-08
